UTM 10X10,COUNTRY,Tmax30-REM 1971-2000,Tmax30nd5d-REM 1971-2000,TmaxAvemin-REM 1971-2000,TmaxAvemin5d-REM 1971-2000,Tmax30-WRA 1971-2000,Tmax30nd5d-WRA 1971-2000,TmaxAvemin-WRA 1971-2000,TmaxAvemin5d-WRA 1971-2000,Tmax30-WRB 1971-2000,Tmax30nd5d-WRB 1971-2000,TmaxAvemin-WRB 1971-2000,TmaxAvemin5d-WRB 1971-2000,Tmax30-PRO 1971-2000,Tmax30nd5d-PRO 1971-2000,TmaxAvemin-PRO 1971-2000,TmaxAvemin5d-PRO 1971-2000,Tmax30-MM5 1971-2000,Tmax30nd5d-MM5 1971-2000,TmaxAvemin-MM5 1971-2000,TmaxAvemin5d-MM5 1971-2000,PrAvemax-REM 1971-2000,PrAvemax5d-REM 1971-2000,Pr1mm-REM 1971-2000,Pr1mm5d-REM 1971-2000,PrAvemax-WRA 1971-2000,PrAvemax5d-WRA 1971-2000,Pr1mm-WRA 1971-2000,Pr1mm5d-WRA 1971-2000,PrAvemax-WRB 1971-2000,PrAvemax5d-WRB 1971-2000,Pr1mm-WRB 1971-2000,Pr1mm5d-WRB 1971-2000,PrAvemax-PRO 1971-2000,PrAvemax5d-PRO 1971-2000,Pr1mm-PRO 1971-2000,Pr1mm5d-PRO 1971-2000,PrAvemax-MM5 1971-2000,PrAvemax5d-MM5 1971-2000,Pr1mm-MM5 1971-2000,Pr1mm5d-MM5 1971-2000,Hum-relat-REM 1971-2000,Hum-relat-WRA 1971-2000,Hum-relat-WRB 1971-2000,Hum-relat-PRO 1971-2000,Hum-relat-MM5 1971-2000,Tmax30-REM 2021-2050,Tmax30nd5d-REM 2021-2050,TmaxAvemin-REM 2021-2050,TmaxAvemin5d-REM 2021-2050,Tmax30-WRA 2021-2050,Tmax30nd5d-WRA 2021-2050,TmaxAvemin-WRA 2021-2050,TmaxAvemin5d-WRA 2021-2050,Tmax30-WRB 2021-2050,Tmax30nd5d-WRB 2021-2050,TmaxAvemin-WRB 2021-2050,TmaxAvemin5d-WRB 2021-2050,Tmax30-PRO 2021-2050,Tmax30nd5d-PRO 2021-2050,TmaxAvemin-PRO 2021-2050,TmaxAvemin5d-PRO 2021-2050,Tmax30-MM5 2021-2050,Tmax30nd5d-MM5 2021-2050,TmaxAvemin-MM5 2021-2050,TmaxAvemin5d-MM5 2021-2050,PrAvemax-REM 2021-2050,PrAvemax5d-REM 2021-2050,Pr1mm-REM 2021-2050,Pr1mm5d-REM 2021-2050,PrAvemax-WRA 2021-2050,PrAvemax5d-WRA 2021-2050,Pr1mm-WRA 2021-2050,Pr1mm5d-WRA 2021-2050,PrAvemax-WRB 2021-2050,PrAvemax5d-WRB 2021-2050,Pr1mm-WRB 2021-2050,Pr1mm5d-WRB 2021-2050,PrAvemax-PRO 2021-2050,PrAvemax5d-PRO 2021-2050,Pr1mm-PRO 2021-2050,Pr1mm5d-PRO 2021-2050,PrAvemax-MM5 2021-2050,PrAvemax5d-MM5 2021-2050,Pr1mm-MM5 2021-2050,Pr1mm5d-MM5 2021-2050,Hum-relat-REM 2021-2050,Hum-relat-WRA 2021-2050,Hum-relat-WRB 2021-2050,Hum-relat-PRO 2021-2050,Hum-relat-MM5 2021-2050
MD86,PORTUGAL,3.13,0,36.67,2.03,6.97,0.07,25.8,1,5,0.07,34.03,1.8,32.2,2.53,57.43,4.3,12.47,0.5,24.13,0.97,75.6,5,252.13,38.37,76.8,3.93,254.8,37.8,80.67,4.6,243.93,34.5,85.3,5.63,243.13,35.43,67.1,2.1,279.77,40.93,77.31,82.53,78.79,81.62,72.38,6.3,0.1,41.57,2.5,11.03,0.3,24.9,0.67,8.8,0.2,36.13,1.53,43.97,3.9,59.03,4.37,16.07,0.5,24.6,0.87,71.07,4.2,262.87,40.1,75.17,4,263.4,39.6,78.97,3.9,251.5,36.27,81.9,5.43,250.87,36.57,82.8,1.93,250.53,31.2,77.83,82.75,79.31,82.22,73.09
ND02,PORTUGAL,52.63,5.27,15.67,0.5,34.47,3,11.33,0.17,31.03,2.4,16.3,0.43,68.53,8.4,32.8,1.27,32.43,2.3,10.73,0.33,69.27,2.8,275.53,41.93,74.13,3.83,268.23,40.4,75.6,3.63,263.37,39.03,78.63,4.8,259.73,39.1,63.37,1.8,285.93,43.17,73.03,78.62,73.42,79.89,71.08,66.43,7.27,19.67,0.37,38.43,2.9,8.67,0.07,35.27,2.73,16.47,0.43,77.83,9.1,32,1.3,38.4,2.77,11.23,0.17,65.63,2.6,284.67,44.27,70.9,3.43,276.83,42.47,73.83,3.47,270.73,40.97,73.53,4.07,269,40.73,80.77,1.83,256.43,32.73,72.8,78.73,73.88,80.03,71.65
ND03,PORTUGAL,48.2,4.57,16.1,0.4,31.37,2.6,12.2,0.23,27.6,1.77,17.33,0.47,64.4,7.47,33.9,1.33,29.8,1.97,11.3,0.4,72.57,3.43,271.1,41.13,74.77,4,265.53,40,77.07,4,260.93,38.8,81.93,5.03,251.7,37.6,64.23,1.93,283.73,42.37,73.97,78.89,73.87,80.34,71.46,62.23,6.3,20.33,0.4,35.53,2.67,9.7,0.07,32,2.37,17.8,0.43,73.27,8.27,33.13,1.37,35.47,2.47,11.73,0.17,68.3,2.9,279.27,43.23,72.2,3.53,274.37,42.1,74.9,3.97,268.4,40.67,77.53,4.77,259.6,38.53,81.73,1.8,253.8,32.2,73.78,79,74.36,80.54,72.03
ND00,PORTUGAL,51.03,5.03,17.63,0.6,41.7,4.13,10.93,0.17,38.17,3.23,17.57,0.57,74.73,9.37,30.57,1.13,37.63,3.1,10.5,0.33,68.57,3.3,273.7,41.97,71.87,3.6,269.53,40.63,75.5,3.67,262.67,39.23,73.77,4.07,263.03,40.03,61.47,1.5,288.2,43.77,72.35,77.74,72.28,78.74,70.29,64.97,7.17,21.27,0.57,47.53,4.57,8.3,0.1,43.4,3.67,17.2,0.4,84.87,10.7,29.63,1.03,45.63,3.77,10.37,0.2,65.43,3,283.07,44.83,70.07,3.1,277,42.33,73.87,3.43,269.63,40.73,70.33,3.43,272.1,41.63,80.53,1.7,259,33.4,72.12,77.71,72.61,78.76,70.83
ND01,PORTUGAL,54.8,5.63,16.17,0.53,37.5,3.5,11.2,0.2,33.43,2.8,16.63,0.5,70.8,8.9,31.83,1.23,35,2.73,10.57,0.33,67.83,2.83,278.73,42.77,73.4,3.7,268.4,40.43,76.17,3.67,262.4,39.2,78.03,4.63,258.27,39.1,62.37,1.67,287.23,43.4,72.39,78.22,72.9,79.3,70.69,67.9,7.67,20,0.47,42.3,3.63,8.43,0.1,38.73,3.1,16.47,0.43,80.43,9.73,31.23,1.17,41.83,3.1,10.87,0.2,64.27,2.43,287.2,44.63,71.07,3.47,276.47,42.53,73.73,3.37,270.57,41.07,73.8,4.03,267.23,40.53,80.83,1.73,256.93,32.83,72.14,78.28,73.31,79.38,71.25
NC08,PORTUGAL,46.43,4.37,20.97,0.9,46.23,4.8,9.03,0.13,42.4,3.7,15,0.37,78.4,10.17,29.63,1.13,40.6,3.47,12.57,0.37,68.73,3.5,271.43,42.1,70.87,3.57,271.5,41.57,73.7,3.33,265.5,39.87,69.93,3.3,266.7,40.53,60.17,1.6,290.77,44.27,72.24,76.83,71.37,77.98,69.15,59.9,6.27,25.03,0.77,53.07,5.33,6.7,0.07,49.07,4.67,15.2,0.23,89.47,11.77,28.23,0.97,49.27,4.43,12.73,0.23,64.67,3.47,281.43,44.8,70.5,3.13,278.33,42.57,73.07,3.57,272.6,41.3,66.87,3.2,276.63,42.57,80.1,2.13,262.57,34.07,72.07,76.86,71.72,77.94,69.67
NC09,PORTUGAL,45.6,4.27,20.73,0.9,44.63,4.47,10.27,0.17,41.57,3.53,17.07,0.5,76.9,9.77,30.3,1.1,40,3.47,10.83,0.33,68.47,3.63,271.8,41.97,71.27,3.77,270.03,41,74.53,3.53,264.2,39.37,70.13,3.4,267.9,40.87,60.27,1.53,289.8,44,72.03,77.25,71.72,78.39,69.81,59.37,6.3,24.4,0.7,51.33,5.1,8,0.1,47.67,4.37,17.43,0.33,88.3,11.53,28.43,1,48.83,4.23,10.97,0.2,64.6,3.33,281.3,44.7,70.8,2.97,277.2,42.13,73.27,3.37,270.3,40.4,67.7,3.1,276.87,42.63,79.9,1.8,260.97,33.77,71.84,77.18,72.02,78.36,70.34
NC06,PORTUGAL,39.13,3.4,22.47,0.9,41.53,4.17,8.63,0.13,37.07,3.23,15.13,0.4,61.2,7.5,34.1,1.67,31.77,1.93,19.47,0.87,66.57,3.63,272.27,42.1,69.9,3.43,275.07,42.9,73.87,3.5,267.37,40.73,70.53,3.63,267.53,41.2,60.23,1.77,291.53,44.63,72.85,77.27,71.68,77.31,69.3,52.57,5.2,27.03,0.83,48.47,4.4,6.23,0.07,43.87,3.9,15.23,0.2,75.1,9.27,33.3,1.37,40.03,3.2,19.67,0.6,64.4,3.43,282.5,44.77,70.5,3.23,280.33,43.1,72.83,3.47,274.57,42.1,66.33,3.3,277.77,43,78.7,2.07,264.3,34.67,72.77,77.42,72.04,77.32,69.8
NC07,PORTUGAL,47.3,4.6,20.9,0.93,48.93,5.13,7.6,0.1,44.6,4.1,13.17,0.33,76.8,9.93,30.23,1.27,41.77,3.37,14.83,0.57,67.8,3.57,271.47,42.27,69.73,3.2,273.87,42.23,73.4,3.33,268.97,40.6,68.43,3.23,270.5,41.4,59.77,1.6,292.37,44.83,72.59,76.35,70.91,77.29,68.51,60.63,6.47,25.27,0.8,55.87,5.67,5.57,0.07,50.93,4.93,13.3,0.2,87.67,11.33,28.53,0.97,50.47,4.9,15.07,0.37,64.6,3.43,282.13,44.77,69.5,3.13,280.63,43.03,72.47,3.4,275.83,41.8,64.27,2.83,280.07,43.17,78.3,2,264.83,34.77,72.45,76.48,71.28,77.26,69.03
NB00,PORTUGAL,0.17,0,97.03,13.17,0.03,0,85.93,9.73,0,0,103.6,14.3,28.23,1.97,56.63,4.4,0,0,142.97,23.03,61.23,3.8,284.77,46.13,67.53,3.53,284.03,45.33,70.37,3.63,270.23,41.67,67.97,3.93,279.87,44.33,55.57,1.8,300.63,47.63,75.11,85.44,80.38,79.89,75.93,0.47,0,102.37,14.5,0.1,0,83.4,9.3,0.13,0,102.03,13.43,51.77,4.6,56.43,4.33,0,0,147.83,23.57,58.9,3.8,293.67,47.33,64.7,3.23,292.17,46.23,69.47,3.83,279.03,43.47,60.97,3.2,291.37,46.6,75.2,2.57,265.7,35.2,75.29,85.46,80.66,79.84,76.37
